geneid	length	nreads
Lars2	3881	583364
Malat1	6982	388489
Rpph1	325	199607
Gm20594	334	147488
Actb	1889	118445
Cd74	2638	104686
Tmem38b	2861	95346
Macf1	40909	70816
Eef1a1	1789	66139
Myh9	7371	64621
Hsp90ab1	2507	59802
Rmrp	275	52876
Hspa8	2104	52261
Eef2	3100	51991
Msn	3840	46378
Ddx5	3520	41657
Serinc3	3694	41625
Syk	10202	40236
Snord15b	145	39272
Mll2	19827	39081
Mir5109	87	37521
Ms4a1	2057	36359
Rpl13a	1026	36226
Rpsa	1861	35603
Iqgap1	7359	35489
Ikzf3	4098	35073
Actg1	1894	34525
Ptpn6	4409	34503
Ncl	8257	34424
Srrm2	8600	33052
Prkcb	8829	32972
Scd1	4837	32372
Rpl5	2019	30401
Ptprc	15994	30100
Btg1	5008	29402
Prrc2c	10444	29262
Ptma	1192	29162
Tpt1	894	29129
Wdfy4	9681	29010
Pabpc1	2820	27694
Mcl1	3487	27678
Map3k1	6961	26885
Hnrnpu	3670	26725
Son	15737	26588
Hnrnpa2b1	5732	26185
Dock2	6291	26107
Rplp0	1360	25866
Swap70	4035	25588
Chd4	6425	25374
Arid1a	8175	25122
Sptbn1	17288	24732
Cd22	8069	23985
Flna	8347	23948
Ly6e	12714	23238
Spib	2786	23204
Prrc2a	13713	23200
Lcp1	7748	23077
Ywhaz	13871	23047
Snord17	221	22853
Coro1a	1597	22462
Rps7	961	22425
Tln1	8560	22367
Hsp90b1	2759	22286
Mki67	10075	22131
Sorl1	6938	22107
Smg1	15553	21975
Actr3	7851	21912
Rpl4	1422	21910
Eif4g2	15406	21777
Arhgef1	16676	21616
Cd19	2436	21568
Med13	11787	21534
Prpf8	7481	21430
Rpl23a	560	21296
Cyfip2	19633	21026
Chst3	6112	20701
Ets1	9859	20655
Rps6	1394	20640
Itpr3	8990	20585
H2-Ab1	1193	20251
Hnrnpf	16120	20227
Ptprj	11835	19787
Atp2a3	13719	19639
Eif3a	5176	19636
Birc6	15768	19626
Hnrnpk	1978	19614
Sptan1	23994	19607
Foxp1	20834	19517
Unc93b1	4258	19464
Rpl8	862	19424
Kcnq1ot1	83437	19392
Ucp2	4133	19389
Mll1	16439	19343
Huwe1	14625	19317
Cltc	6144	19083
Wnk1	53018	18955
Cd79b	1198	18901
Hsp90aa1	2850	18881
Bptf	11488	18756
Akap13	12543	18611
Rps3a1	943	18581
Ezr	3070	18297
H2-K1	1646	18282
Cd24a	1816	18219
Polr2a	5799	18189
Ubr4	15872	18080
Dync1h1	14398	18076
Rpl7	934	18007
Tmsb4x	670	17813
Rpl19	1490	17565
Calr	1943	17554
Nsd1	12784	17540
Rpl18a	1291	17450
Gnai2	2177	17425
Mll3	16820	17191
Ankrd11	17535	17145
Sf3b1	6192	17139
Ncor1	20689	17062
Dgkd	5694	16999
Rpl6	1250	16869
Rpl17	775	16734
Irf8	2827	16617
Crebbp	7507	16572
Rps3	1878	16503
Sfpq	5783	16428
Gnb2l1	1254	16160
Rplp1	468	16156
Rps9	703	16155
Adrbk1	3182	16096
Plcg2	4298	15898
Rps8	740	15820
Iqsec1	11016	15786
Chd3	7281	15735
Gm17821	12530	15700
Arhgap30	4487	15658
Hmha1	7408	15475
Plec	225028	15410
Plekha2	4984	15403
Myo1c	15883	15310
Rpl3	1361	15258
Rpl21	1856	15253
Hvcn1	5423	15249
Serbp1	26614	15233
Top2b	5633	15226
Tcf3	26488	15217
Tpm3	9062	15161
Faim3	1491	15123
Rpl13	778	14944
Ppia	736	14934
Chd2	9071	14852
Vim	1834	14723
Nipbl	17414	14692
H3f3b	1993	14658
Ly6d	691	14633
Calm1	4001	14632
Akna	5475	14615
Klf2	1816	14608
Fam129c	2482	14587
Pfn1	870	14449
Tnfrsf13c	1906	14421
