geneid	length	nreads
Malat1	6982	255198
Lars2	3881	251269
Rpph1	325	133435
Gm20594	334	89609
Actb	1889	81903
Gm17821	12530	69513
Cd74	2638	54181
Kcnq1ot1	83437	45230
Eef1a1	1789	39633
A130077B15Rik	2547	35799
Mir5109	87	34624
Myh9	7371	32368
Eef2	3100	31936
Hsp90ab1	2507	31516
Tmem38b	2861	28551
Ms4a1	2057	27674
Cd24a	1816	27097
Macf1	40909	26438
Hspa8	2104	26109
Grk4	5648	25975
Msn	3840	25940
Ikzf3	4098	25231
Mll2	19827	24916
Actg1	1894	23375
Wdfy4	9681	23180
Iqgap1	7359	23067
Ddx5	3520	22871
Ptpn6	4409	22805
Syk	10202	22752
Serinc3	3694	22677
Scd1	4837	22000
Spib	2786	21494
Ptprj	11835	20407
Btg1	5008	20368
Hsp90b1	2759	20328
Mcl1	3487	20224
Srrm2	8600	20134
Rmrp	275	19991
Map3k1	6961	19781
Cd79a	1327	19523
Pabpc1	2820	19226
Ptprc	15994	19138
Prrc2c	10444	18900
Tpt1	894	18787
Rpsa	1861	18770
Ptma	1192	18056
Ncl	8257	17611
Gm10845	3389	16806
Rpl13a	1026	16441
Chst3	6112	16244
Med13	11787	16172
Mki67	10075	15893
Hnrnpa2b1	5732	15826
Rpl5	2019	15726
Chd4	6425	15461
Son	15737	15425
Swap70	4035	15415
Hnrnpu	3670	15341
Fam129c	2482	15270
Cyfip2	19633	14972
Arid1a	8175	14964
Flna	8347	14727
Ucp2	4133	14723
4930470H14Rik	1734	14716
Ywhaz	13871	14403
Tln1	8560	13690
Dock2	6291	13535
Rplp0	1360	13475
A630089N07Rik	2131	13423
Cd79b	1198	13405
Prkcb	8829	13231
Ly6e	12714	13226
Coro1a	1597	13059
Atp2a3	13719	13049
Cd22	8069	12984
Cd72	5736	12877
Calr	1943	12664
Actr3	7851	12596
Prrc2a	13713	12587
Smg1	15553	12579
Prpf8	7481	12515
Eif4g2	15406	12490
Pten	8212	12386
Rps3a1	943	12149
Rpl4	1422	12059
Ikzf1	10065	12000
Wnk1	53018	11903
Hnrnpf	16120	11877
Rpl23a	560	11810
Akap13	12543	11688
Cltc	6144	11598
Birc6	15768	11582
Rpl7	934	11547
Rps6	1394	11540
Mll3	16820	11393
Eif3a	5176	11371
Tmsb4x	670	11259
Foxp1	20834	11212
Sptbn1	17288	11130
Hnrnpk	1978	11128
Cd19	2436	11049
Plekha2	4984	10921
Nsd1	12784	10891
Lcp1	7748	10878
Unc93b1	4258	10861
Sf3b1	6192	10815
Lyn	6849	10658
Tnfrsf13c	1906	10585
Arhgap30	4487	10574
Huwe1	14625	10532
Rpl19	1490	10463
Itga4	9832	10336
Rpl8	862	10327
Dgkd	5694	10304
Mll1	16439	10287
Bptf	11488	10278
Ccnd2	5771	10268
Itpr3	8990	10224
Ubr4	15872	10164
Sfpq	5783	10144
H2-K1	1646	10131
Hsp90aa1	2850	10122
Plcg2	4298	10019
Tcf3	26488	10001
Rpl6	1250	9955
Ets1	9859	9922
