geneid	length	nreads
Lars2	3881	1686838
Malat1	6982	218741
Rpph1	325	180975
Tmem38b	2861	121010
Gm20594	334	101801
Eef1a1	1789	83684
Actb	1889	81747
Mir5109	87	70212
Smarca4	19107	69807
Mki67	10075	64911
Serinc3	3694	50402
Syk	10202	48923
Eef2	3100	47893
Ddx5	3520	47466
Cecr2	9213	47080
Tpt1	894	43887
Ptma	1192	43779
Bach2	8493	40962
Cyfip2	19633	40204
Cd24a	1816	40050
Rag1	6667	39651
Akap12	6247	36887
Hist1h1c	1561	35305
Pabpc1	2820	35187
Iqgap1	7359	34947
Xist	30168	33990
Eif4g2	15406	33929
Hmgb1	2309	33341
Rmrp	275	33043
Hnrnpu	3670	32860
Hmgb2	2692	31785
Hnrnpa2b1	5732	31262
Top2a	5217	29921
Myb	7197	28942
Sptbn1	17288	27613
Tubb5	2645	27187
Rpl5	2019	27062
Ikzf1	10065	26860
Ucp2	4133	25935
Btg1	5008	25364
Mll2	19827	25325
Atp1b1	2422	25274
Wdfy4	9681	25173
Hspa8	2104	25129
Rpl13a	1026	24941
Plekha2	4984	24829
Nipbl	17414	24671
Hsp90ab1	2507	24143
Srrm2	8600	24087
Actg1	1894	23918
Adrbk1	3182	23890
Tcf3	26488	23844
Foxp1	20834	23555
Hsp90b1	2759	22854
Rpsa	1861	22495
Myh9	7371	22346
Rpl4	1422	22293
Rps3a1	943	22285
Hist1h1d	2977	22182
Msn	3840	22153
Son	15737	21949
Prrc2c	10444	21927
Dgkd	5694	21729
Hist1h1a	747	21681
Pou2af1	2566	21631
Rps6	1394	21504
Aff1	16635	21446
H3f3b	1993	21408
Spib	2786	21177
Top2b	5633	21091
Rpl7	934	21041
Ywhaz	13871	20890
Arid1b	11325	20384
Cnp	4881	20077
Serinc5	5318	20003
Prkcb	8829	19730
Lmnb1	2844	19314
Bcl7a	3809	19300
Rplp0	1360	19048
Med13	11787	18952
Map3k1	6961	18821
Hist1h1e	1931	18684
Edem3	6604	18629
Sf3b1	6192	18559
Lrmp	2313	18411
Slc12a6	12573	18397
Calm1	4001	18307
Ikzf3	4098	18272
Snord15b	145	18132
Rps9	703	17922
Tifa	2137	17815
Fam53b	10199	17767
Cerk	4546	17621
Arid1a	8175	17391
Ptbp3	13735	17382
Stk4	5189	17357
Chst3	6112	17329
Rpl23a	560	17202
Irf4	4683	17047
Fam129c	2482	17022
Hnrnpk	1978	16835
Rpl18a	1291	16717
Ncl	8257	16704
Akap13	12543	16472
H2-K1	1646	16451
Rpl19	1490	16379
Rere	7458	16339
Polr2a	5799	16328
Sfpq	5783	16258
Glcci1	6204	16167
Mbnl1	28915	16112
Mll3	16820	16060
Wnk1	53018	15998
Hist1h1b	672	15945
Rpl8	862	15894
Cltc	6144	15871
Chd4	6425	15864
Dnajc7	2312	15859
Pten	8212	15853
Cd93	6638	15808
D930015E06Rik	4909	15719
Klhl24	6683	15717
Scaf11	7724	15702
Cd79b	1198	15675
Serp1	2449	15580
H3f3a	1076	15525
Rpl17	775	15508
Prrc2a	13713	15342
Ppia	736	15314
Hnrnpf	16120	15275
Trp53inp1	10822	15263
Rpl21	1856	15149
Fau	1881	15112
Tln1	8560	14844
Prpf8	7481	14820
Rps24	2569	14660
Dock2	6291	14613
Huwe1	14625	14586
Unc93b1	4258	14349
Rplp2	441	14312
Setd2	8350	14297
Atrx	10242	14288
Nup210	7035	14260
Pyhin1	3497	14201
Crebbp	7507	13976
Rad21	3605	13948
Rps4x	876	13941
Ddx17	16427	13927
Hnrnpul1	4106	13904
Birc6	15768	13887
Bptf	11488	13844
C1galt1	2065	13818
Gnb2l1	1254	13797
Ybx1	2191	13600
Ets1	9859	13567
Dek	2602	13543
Hnrnph1	2226	13509
Pum2	37079	13505
Ncor1	20689	13498
Zeb2	9113	13470
Mll1	16439	13449
Rpl6	1250	13436
Hnrnpm	4947	13301
Ablim1	18775	13299
Rps3	1878	13245
Nsd1	12784	13182
Rpl3	1361	13122
Adam19	6387	13079
Tpr	7550	13071
Fam107b	3148	13030
Psap	15807	12956
Myo1c	15883	12916
B2m	858	12896
Rpl10	795	12854
Rpl27a	1112	12833
Lyn	6849	12689
Ddx6	18106	12675
Rps7	961	12562
Phip	10729	12550
Aff3	6010	12479
Tmpo	19823	12448
Caprin1	25393	12446
Psme4	6442	12368
Fcrla	5046	12324
Hsp90aa1	2850	12319
Sox4	2953	12278
Adam10	4589	12206
Ankrd11	17535	12204
Cd19	2436	12173
Btg2	3083	12152
Atp5a1	2431	12125
Uba52	494	12092
Tmsb4x	670	12058
Cfl1	1184	12034
Coro1a	1597	12033
Jund	2878	12013
Xrcc6	2113	11967
Hnrnpab	4949	11947
Smc4	4082	11933
Csde1	8309	11858
2310014L17Rik	3239	11747
Pbrm1	8117	11744
Sptan1	23994	11703
E2f2	4738	11685
Smg1	15553	11685
Eif3a	5176	11638
Cnot1	24984	11636
Dync1h1	14398	11602
Dock8	7810	11577
Cenpf	11122	11544
Ly6e	12714	11483
Tpm3	9062	11459
Kif21b	9119	11397
Fryl	11470	11395
Gnai2	2177	11383
Klhl6	2405	11361
Gdi2	2681	11335
Trip12	9632	11289
Ssh2	9039	11249
Ptprc	15994	11244
Actr3	7851	11243
Marcks	4186	11218
N4bp2	5731	11206
Hcfc1	8093	11190
Nucks1	12189	11163
Ezh2	5292	11140
Rpl23	1062	11022
