geneid	length	nreads
Rpph1	325	328910
Lars2	3881	287231
Malat1	6982	287189
Gm20594	334	122628
Mki67	10075	91941
Smarca4	19107	73075
Actb	1889	69810
Ptma	1192	62462
Tmem38b	2861	57914
Gm17821	12530	56800
Syk	10202	45811
Hmgb1	2309	44308
Rmrp	275	43104
Akap12	6247	42497
Hmgb2	2692	40412
Hist1h1c	1561	38663
Cecr2	9213	38633
Eef1a1	1789	38510
Cyfip2	19633	38282
Bach2	8493	37516
Hnrnpu	3670	37065
Myb	7197	36877
Hist2h2bb	493	36518
Eef2	3100	36506
Ddx5	3520	35582
Top2a	5217	34367
Hspa8	2104	34167
Hsp90ab1	2507	33614
Pabpc1	2820	33397
Mll2	19827	33292
Myh9	7371	32232
Serinc3	3694	32118
Prrc2c	10444	31587
Lmnb1	2844	29918
Ucp2	4133	29710
Kcnq1ot1	83437	29415
Srrm2	8600	29039
Hnrnpa2b1	5732	28356
Rpl13a	1026	28314
Msn	3840	27956
Tpt1	894	27917
Snord15b	145	27806
Cd24a	1816	27470
Hnrnpk	1978	27421
Rag1	6667	27134
Tcf3	26488	26422
Arid1a	8175	26372
Ncl	8257	26248
Tubb5	2645	26084
Sfpq	5783	25508
Iqgap1	7359	25050
Hsp90b1	2759	25010
Aff1	16635	24335
Rplp0	1360	22795
Wdfy4	9681	22695
Sptbn1	17288	22139
A130077B15Rik	2547	22038
Hsp90aa1	2850	21957
Son	15737	21623
Nipbl	17414	21487
Dek	2602	21390
Eif4g2	15406	21246
Rere	7458	21000
Med13	11787	20596
Plekha2	4984	20475
Hist1h1e	1931	20151
Prrc2a	13713	20149
Prkcb	8829	19758
Snord15a	148	19740
Stk4	5189	19440
Ywhaz	13871	19428
Wnk1	53018	19413
Chd4	6425	19383
Top2b	5633	19187
Rad21	3605	19057
Arid1b	11325	19053
Ikzf3	4098	18794
Rpsa	1861	18777
Hist1h1a	747	18775
Hist1h1d	2977	18752
Ankrd11	17535	18600
Foxp1	20834	18543
Rpl5	2019	18524
Cd93	6638	18452
Cenpf	11122	18448
Adrbk1	3182	17582
Eif3a	5176	17383
Map3k1	6961	17182
Mll3	16820	16889
Dock2	6291	16821
Akap13	12543	16722
Birc6	15768	16638
Rpl37	867	16484
Hist1h4d	312	16480
Rpl23a	560	16458
Lrmp	2313	16201
Mll1	16439	16193
Atrx	10242	16108
Fam53b	10199	15943
Ikzf1	10065	15912
H3f3b	1993	15774
Bcl7a	3809	15610
Irf4	4683	15603
Hnrnpf	16120	15486
Rps3a1	943	15359
Dgkd	5694	15324
Chst3	6112	15309
Supt16	4491	15228
Spib	2786	15200
Bptf	11488	15179
Huwe1	14625	15118
Hist2h4	348	15032
Sf3b1	6192	15020
Btg1	5008	15018
4930470H14Rik	1734	14975
Atp1b1	2422	14951
Zeb2	9113	14876
Gm10845	3389	14863
Ncor1	20689	14850
Hnrnpul1	4106	14831
Pou2af1	2566	14830
Pik3ap1	2615	14825
D930015E06Rik	4909	14811
Smc1a	3970	14699
Crebbp	7507	14599
Uba52	494	14489
Fam129c	2482	14448
Ppia	736	14393
Baz1b	6433	14392
Trp53inp1	10822	14217
Smg1	15553	14142
Rbm39	2812	14132
Kat6a	9126	14117
Acin1	19148	14039
Tmpo	19823	13999
Tln1	8560	13994
Setd2	8350	13961
Rpl19	1490	13938
Ezh2	5292	13906
Rpl4	1422	13897
Grk4	5648	13869
Anp32e	9375	13800
Phip	10729	13720
Actg1	1894	13712
Sf3b2	3233	13708
Glcci1	6204	13673
Tpr	7550	13660
Cnp	4881	13645
Itga4	9832	13264
Rps6	1394	13158
Sox4	2953	13138
Stmn1	1060	13123
Dnmt1	21864	13110
Hnrnpm	4947	13094
Ubr4	15872	13015
Pten	8212	12985
Nup210	7035	12975
Slc12a6	12573	12932
Macf1	40909	12910
Hnrnpab	4949	12908
Cerk	4546	12889
Polr2a	5799	12885
Kif21b	9119	12724
Nsd1	12784	12718
Cep110	13582	12585
Tifa	2137	12544
Serbp1	26614	12525
Smc4	4082	12484
Cltc	6144	12465
Dync1h1	14398	12458
Nono	4933	12444
Prpf8	7481	12365
Ybx1	2191	12313
Calm1	4001	12294
Mbnl1	28915	12190
Whsc1	21625	12168
Dnajc7	2312	12099
Cnot1	24984	12068
Scaf11	7724	12066
E2f2	4738	12030
Rpl7	934	12008
Chd1	7918	11994
Top1	3846	11970
Snord17	221	11897
Hist1h1b	672	11856
Numa1	7153	11842
Tpm3	9062	11815
Gnb2l1	1254	11791
B2m	858	11786
Gltscr1	5360	11686
Ssh2	9039	11673
Ablim1	18775	11621
Sf1	8084	11544
Hnrnph1	2226	11461
Serinc5	5318	11452
Hcfc1	8093	11443
Ebf1	2245	11364
Akna	5475	11315
Cd79b	1198	11291
Fryl	11470	11240
Pum2	37079	11175
Ep400	21488	11138
Calm2	1216	11136
Cap1	2393	11133
Myo1c	15883	11123
Edem3	6604	11105
Ddx17	16427	11089
Elf1	4217	11085
Brd4	8667	11072
Thrap3	4327	10991
Ep300	8749	10963
Zfpm1	3386	10962
Actr3	7851	10905
Anp32b	1367	10868
Snord22	126	10855
Wdr26	7047	10787
Arhgap30	4487	10753
Fmnl1	7647	10734
Incenp	3217	10725
H2afx	1359	10710
Ly6e	12714	10695
Ywhae	2078	10667
Aff3	6010	10653
Stag2	11770	10455
Unc93b1	4258	10408
Fam107b	3148	10395
Dock8	7810	10328
Ptbp3	13735	10325
Nap1l1	5453	10313
Hist1h2ak	393	10285
Hnrnpd	26832	10252
Ets1	9859	10218
Vim	1834	10199
Chchd10	948	10195
Sptan1	23994	10186
Ubb	1165	10183
Ckap5	13091	10159
Ppp6r1	3793	10141
Uhrf1	13944	10119
Lbr	3552	10107
Luc7l2	10478	10107
Smc3	4851	10070
Rps8	740	10053
Rpl17	775	10024
Gdi2	2681	10007
Ivns1abp	9693	9999
Cplx2	4925	9971
Cd72	5736	9929
Rps7	961	9887
Cic	18294	9886
Ranbp2	9476	9878
Arhgef1	16676	9839
Phf2	5260	9830
Rbm25	4244	9824
Ptprc	15994	9741
Baz2b	7980	9685
Prrc2b	19232	9681
Hipk1	8049	9666
Ctcf	3823	9661
Cd19	2436	9659
Clint1	3398	9633
Rpl29	710	9620
Ppp2r5a	3082	9571
Itpr2	23547	9512
Ncapd2	4514	9497
Trip12	9632	9464
Brd2	13469	9428
Adam19	6387	9424
Rpl18a	1291	9411
H3f3a	1076	9398
Plcg2	4298	9369
Caprin1	25393	9361
Hnrnpul2	5726	9348
Atp2a3	13719	9346
Kdm3b	7112	9346
Tmsb10	1828	9331
Tcp1	2363	9322
Tnrc18	13852	9301
Cep350	13307	9240
Jund	2878	9226
Baz1a	6179	9202
Psme4	6442	9145
Laptm5	2398	9143
Adam10	4589	9124
Rock1	6187	9118
Usp34	12200	9090
Cux1	7990	9076
Ewsr1	2400	8977
Gnai2	2177	8970
Cenpe	7813	8962
Ssrp1	5587	8947
Cytip	5735	8923
Marcks	4186	8922
Nucks1	12189	8920
Rpl21	1856	8897
Smchd1	7047	8893
Baz2a	8369	8887
Kif11	4819	8868
H2-K1	1646	8834
Hmha1	7408	8814
Rpl6	1250	8808
Bcor	33578	8743
Siglecg	2484	8730
Arid2	9029	8726
Smarcc1	5673	8724
Rps23	555	8703
Pyhin1	3497	8701
Foxo1	5552	8699
Pbrm1	8117	8646
H2afz	957	8638
Btg2	3083	8609
Strbp	16348	8605
Tcf20	14579	8579
Atp5a1	2431	8576
Vars	4224	8570
Mll5	7258	8562
Calr	1943	8523
Arf6	3731	8517
Rpl8	862	8516
Smc2	5321	8473
Rcc2	3767	8462
Ezr	3070	8391
Lyn	6849	8386
Klhl24	6683	8362
Rps9	703	8349
Psap	15807	8347
Vps13b	13371	8316
Cfl1	1184	8313
Dhx9	4613	8312
Atf7ip	4527	8309
Inpp5d	14628	8301
Slamf7	3977	8239
Fcrla	5046	8221
Flna	8347	8220
Erbb2ip	12962	8203
Syncrip	9341	8178
Rplp1	468	8167
Brwd1	18378	8163
Eif4g1	10813	8150
Acad9	3913	8133
Eif4g3	18437	8127
Zfp106	9099	8124
Mcl1	3487	8118
Anapc5	5477	8105
Aspm	9866	8095
Snx2	2013	8089
Zcchc11	6054	8045
Hist1h2bb	468	8036
Srrm1	7449	8021
Il16	4989	8005
Kctd12	6057	8000
Jmjd1c	16999	7973
Fau	1881	7969
Ccnd3	6170	7952
Cd79a	1327	7950
Luc7l3	3296	7940
Tpx2	21219	7939
Elk4	3671	7934
Smarcc2	14214	7896
Canx	12827	7887
Mlxip	9505	7870
Chd9	11517	7866
Ddx3x	4571	7833
Gas7	13980	7824
Arhgap17	16878	7822
Calm3	2208	7792
Spen	12299	7773
Col5a3	6086	7752
Cdv3	15211	7717
Mtss1	9908	7715
Set	5497	7699
Slc1a5	2758	7679
Csk	2276	7670
Xrcc6	2113	7665
Coro1a	1597	7661
Zmiz1	7525	7647
Sbno1	10071	7643
Ash1l	11270	7636
C1galt1	2065	7624
Tcf12	21475	7623
Rps4x	876	7565
Rbbp4	4407	7555
Rps3	1878	7542
Csde1	8309	7532
Ccna2	2811	7488
Herc1	15229	7481
Arl5a	5212	7465
Hist1h2bn	381	7461
Sbk1	4092	7458
Il7r	3210	7451
Prpf38b	3003	7430
Mef2d	2459	7418
Prpf4b	4466	7404
Rpl3	1361	7390
Mir5109	87	7369
Chd2	9071	7353
Cpm	5195	7329
A630089N07Rik	2131	7327
Myl4	883	7307
Gabpb2	17273	7279
Klhl6	2405	7261
Rbm5	3087	7260
Snrnp200	6740	7250
Arglu1	1712	7240
Wdr1	2878	7219
Wasf2	4088	7205
Npm1	4093	7200
Arhgap11a	5016	7195
Rpl13	778	7174
Tubb4b	1600	7167
Ralgps2	41634	7163
Setx	10970	7119
Eif3c	2882	7089
Rock2	8012	7077
Gnas	22976	7072
Serp1	2449	7068
Klf13	6396	7047
Chd8	8190	7032
Ddx6	18106	7031
Srsf1	10924	7029
Atp5b	1879	6995
Lgals9	3079	6982
Iqsec1	11016	6978
Mgea5	4797	6978
Usp7	5427	6974
Slc38a1	22077	6964
Itsn2	14409	6952
B3gnt2	5275	6941
Ubr5	19562	6935
Cbx5	26505	6908
Tmsb4x	670	6902
Pnn	3469	6888
Golgb1	11025	6887
4932438A13Rik	15883	6869
Zfp706	4417	6848
Kpnb1	5909	6846
Dpp4	8922	6845
Cdc25b	6134	6840
Bub1b	3669	6837
Rhoa	2126	6828
Rpl28	496	6818
Pik3cd	29395	6808
Ccar1	4478	6771
Akap9	12105	6769
Map4k4	22525	6768
Hectd1	8988	6767
Rbm33	9501	6766
Khdrbs1	6348	6760
Tnrc6b	34458	6742
Rpl35	452	6710
Bod1l	10539	6706
Rpl41	449	6691
Pcbp2	11196	6686
Ywhah	1764	6672
Hmgn5	1907	6666
Dbnl	7086	6637
Rai1	14473	6637
Ptprcap	846	6629
Cyth1	9474	6619
Herc2	15346	6619
Zfp292	9977	6612
Safb2	3272	6607
Smarce1	2918	6601
Ddx46	5673	6575
Rps20	502	6570
Hist2h2ac	390	6567
Khsrp	3999	6557
Ppp1r12a	3403	6554
Tardbp	39147	6518
Epb4.1l2	8667	6507
Hmgn2	1254	6501
Dnahc8	14583	6498
Thoc2	7619	6498
Mycbp2	15233	6494
Pds5a	4146	6492
Ptp4a3	13595	6491
AI314180	5901	6490
Klf2	1816	6487
Rps24	2569	6462
Topbp1	5111	6454
Mtpn	4042	6445
Itpr3	8990	6428
Hivep1	8753	6421
Pcm1	8381	6416
Snn	2904	6407
Abcf1	3150	6398
Dmxl1	12211	6397
Ppp1cc	2379	6358
Ubl3	2667	6355
Nfatc3	6014	6354
Rrm2	2180	6349
Tax1bp1	3284	6342
Copa	4629	6341
Anp32a	2089	6338
Dpp8	4764	6337
Tapt1	3489	6337
Vpreb3	602	6332
Kif5b	6030	6328
Fth1	2453	6311
Rplp2	441	6305
Syne2	21718	6302
Tpm4	2082	6301
Pfn1	870	6292
Hnrnpa0	2678	6283
Bcr	6537	6274
Parp1	3827	6271
Pdia4	2481	6268
Kdm2a	7265	6259
Trib2	4198	6244
Hdgf	2245	6243
Ankrd13a	3252	6239
Gramd4	8427	6239
Samhd1	7897	6236
Nedd9	8947	6235
Srsf5	4703	6234
Pax5	1208	6230
Cpsf2	5315	6223
Zc3h4	6051	6217
Ncoa3	7531	6208
Srsf4	2254	6207
Ankhd1	8231	6204
Rac2	3036	6204
Ptprj	11835	6202
H2afy	7824	6201
Aplf	6332	6189
Git2	14911	6184
Gnb1	9374	6184
Vps13d	44688	6184
Ptpn6	4409	6182
Hivep2	9768	6172
Srrt	9018	6160
Zscan29	6904	6160
Rsrc2	8674	6152
Hnrnpl	2142	6128
Cacna1e	12697	6125
Bclaf1	16209	6119
Actn4	3811	6116
Cep250	31789	6114
Brd3	15982	6111
Syvn1	6573	6109
Ppp1ca	1363	6102
Dyrk1a	11771	6095
Esyt1	3685	6092
Bzw1	2833	6078
Hist1h3b	411	6051
Psip1	3181	6043
Prpf40a	3565	6007
Gpd1l	4393	6004
Cnbp	6489	6001
Rbbp6	8471	5997
Trrap	12476	5995
Chd3	7281	5992
Wbp7	8457	5984
Stk10	5073	5970
Nckap1l	4717	5954
Osbpl8	14267	5938
Etnk1	6433	5929
Phf3	7561	5925
Tcerg1	4409	5916
Gse1	19783	5893
