geneid	length	nreads
Malat1	6982	334954
Lars2	3881	303286
Rpph1	325	266521
Gm20594	334	154938
Smarca4	19107	114621
Actb	1889	97847
Syk	10202	81425
Rag1	6667	67470
Bach2	8493	67288
Akap12	6247	66750
Ptma	1192	60133
Mki67	10075	58483
Ddx5	3520	58069
Cecr2	9213	56792
Eef1a1	1789	56266
Serinc3	3694	56234
Cyfip2	19633	55788
Hsp90ab1	2507	55053
Eef2	3100	54483
Rpl13a	1026	52654
Myb	7197	48965
Pabpc1	2820	47551
Prkcb	8829	46398
Hnrnpu	3670	44568
Myh9	7371	44463
Tcf3	26488	43607
Mll2	19827	42837
Msn	3840	42783
Srrm2	8600	41891
Hnrnpk	1978	41699
Aff1	16635	41604
Iqgap1	7359	41399
Tpt1	894	41121
Ncl	8257	41109
Rmrp	275	40175
Prrc2c	10444	39341
Sptbn1	17288	37732
Tmem38b	2861	37568
Hspa8	2104	37487
Hsp90b1	2759	36948
Hmgb1	2309	36880
Foxp1	20834	36304
Atp1b1	2422	35346
Snord15b	145	35271
Gm17821	12530	34977
Ikzf3	4098	34862
Eif4g2	15406	34805
Arid1a	8175	34519
Hist1h1c	1561	34271
Sfpq	5783	33977
Plekha2	4984	32634
Rpl5	2019	32359
Rplp0	1360	32350
Son	15737	32060
Ucp2	4133	32029
Nipbl	17414	32012
Cd93	6638	31255
Hnrnpa2b1	5732	31116
Prrc2a	13713	30992
Top2b	5633	30654
Arid1b	11325	30630
Stk4	5189	30209
Hmgb2	2692	30093
Rere	7458	30033
Map3k1	6961	29816
Med13	11787	29610
Ywhaz	13871	29041
H3f3b	1993	28905
Ankrd11	17535	28895
Dock2	6291	28784
Chd4	6425	28412
Fam53b	10199	28184
Dgkd	5694	27790
Fam129c	2482	27553
Ly6e	12714	27348
Cd24a	1816	26415
Btg1	5008	26341
Rpl37	867	25796
Cerk	4546	25784
Eif3a	5176	25729
Bptf	11488	25606
Crebbp	7507	25134
Lmnb1	2844	24993
Spib	2786	24765
Mll3	16820	24327
Chst3	6112	24299
Actg1	1894	24242
Wdfy4	9681	24143
D930015E06Rik	4909	23632
Wnk1	53018	23608
Lrmp	2313	23424
Rps3a1	943	23134
Cacna1e	12697	23100
Myo1c	15883	23092
Pik3ap1	2615	22970
Kcnq1ot1	83437	22858
Trp53inp1	10822	22783
Hist2h2bb	493	22633
Akap13	12543	22629
Tifa	2137	22536
Polr2a	5799	22496
Bcl7a	3809	22272
Ssh2	9039	21966
Ablim1	18775	21938
Zeb2	9113	21918
Huwe1	14625	21855
Ncor1	20689	21845
Dnajc7	2312	21783
Slc12a6	12573	21749
Irf4	4683	21718
Rpl23a	560	21496
Rbm39	2812	21480
Acin1	19148	21335
Rpl19	1490	21158
Cplx2	4925	21122
Sox4	2953	21103
Cd79b	1198	21072
Sf3b1	6192	21032
Hsp90aa1	2850	20940
Rpl4	1422	20898
Rad21	3605	20854
Top2a	5217	20841
Ikzf1	10065	20821
Tubb5	2645	20808
Snord15a	148	20774
Serinc5	5318	20614
Kif21b	9119	20390
Pou2af1	2566	20362
Cltc	6144	20294
Mll1	16439	20282
Ebf1	2245	20266
Cnp	4881	20230
Tln1	8560	20199
Atrx	10242	20071
Adrbk1	3182	19990
Fmnl1	7647	19989
Phip	10729	19974
Birc6	15768	19909
Hnrnpf	16120	19832
Kat6a	9126	19796
Setd2	8350	19649
Rpsa	1861	19625
Sf3b2	3233	19609
Cd19	2436	19535
Glcci1	6204	19528
Arl5a	5212	19513
Mtss1	9908	19460
Rps6	1394	19353
Gnb2l1	1254	19248
Unc93b1	4258	18931
Rpl7	934	18640
Cytip	5735	18476
Ets1	9859	18411
Ezh2	5292	18403
Clint1	3398	18324
Hnrnpul1	4106	18304
Nsd1	12784	18271
Marcks	4186	18237
Chchd10	948	18192
Fcrla	5046	18031
Akna	5475	17847
Hnrnpm	4947	17823
Calm1	4001	17816
Rpl17	775	17791
Mbnl1	28915	17786
Uba52	494	17701
Wdr26	7047	17650
Serbp1	26614	17609
Prpf8	7481	17602
Foxo1	5552	17586
Smg1	15553	17550
Tpr	7550	17478
Aff3	6010	17383
Elf1	4217	17305
Laptm5	2398	17285
Zfpm1	3386	17281
Fam107b	3148	17200
Cap1	2393	17162
Supt16	4491	17150
Adam19	6387	17125
Baz2a	8369	17084
Ubr4	15872	16993
Actr3	7851	16893
Hist1h1e	1931	16868
Reln	11698	16553
Scaf11	7724	16517
Rplp1	468	16514
Ep300	8749	16510
Sptan1	23994	16457
Dync1h1	14398	16435
Jund	2878	16416
Ddx17	16427	16392
Top1	3846	16325
Klhl24	6683	16310
Brd2	13469	16279
Prrc2b	19232	16201
Numa1	7153	16108
Erbb2ip	12962	16092
Chd2	9071	16009
Brd4	8667	15943
Dpp4	8922	15914
Cnot1	24984	15904
Psme4	6442	15898
Il16	4989	15862
Dek	2602	15845
Pum2	37079	15809
Phf2	5260	15770
C1galt1	2065	15753
Cd79a	1327	15731
Xrcc6	2113	15686
Sf1	8084	15499
Serp1	2449	15485
B2m	858	15474
Mcl1	3487	15470
Ywhae	2078	15436
Smc1a	3970	15392
H2-K1	1646	15387
Vars	4224	15313
Chd1	7918	15291
Inpp5d	14628	15285
Mll5	7258	15263
Arhgap30	4487	15253
Cep110	13582	15236
Ppia	736	15228
Itga4	9832	15220
Rps8	740	15203
Pten	8212	15093
Snord17	221	15039
Btg2	3083	15015
Chd3	7281	14981
Rpl18a	1291	14951
Thrap3	4327	14920
Gnai2	2177	14838
Arhgef1	16676	14824
Edem3	6604	14803
Rps7	961	14786
Hcfc1	8093	14785
Rbm25	4244	14763
E2f2	4738	14758
Ptbp3	13735	14749
Ptprc	15994	14716
Atp2a3	13719	14686
Rps23	555	14665
Cd72	5736	14662
Trip12	9632	14550
Adam10	4589	14527
Ezr	3070	14508
Tcf12	21475	14486
Bcor	33578	14472
Gse1	19783	14458
Hnrnph1	2226	14450
Snx2	2013	14444
Dock8	7810	14415
Ybx1	2191	14393
Vps13b	13371	14352
Ep400	21488	14335
Rpl8	862	14327
Luc7l2	10478	14237
Stag2	11770	14185
Ranbp2	9476	14108
Arid2	9029	14043
Sbk1	4092	14043
Calm2	1216	14027
Hnrnpab	4949	13998
Baz2b	7980	13993
Fryl	11470	13946
Jmjd1c	16999	13941
Gltscr1	5360	13931
Elk4	3671	13927
Tpm3	9062	13911
Lyn	6849	13902
Macf1	40909	13868
Ddx3x	4571	13863
A130077B15Rik	2547	13843
Baz1b	6433	13837
Tnrc18	13852	13815
Psap	15807	13803
Cic	18294	13798
Hmha1	7408	13788
Hipk1	8049	13783
Rpl6	1250	13746
Rpl29	710	13644
Nono	4933	13613
Hnrnpul2	5726	13592
Wdr1	2878	13551
Ppp6r1	3793	13390
Caprin1	25393	13307
Rock1	6187	13305
Cenpf	11122	13275
Tmsb10	1828	13256
Arl5c	1561	13250
Nup210	7035	13214
Mef2d	2459	13184
Klf2	1816	13084
Rps9	703	13077
Rock2	8012	13061
Pyhin1	3497	13030
Csde1	8309	13011
Hist1h1d	2977	12975
Kdm3b	7112	12974
Il7r	3210	12960
Snn	2904	12874
Rpl21	1856	12829
Ppp2r5a	3082	12817
Slamf7	3977	12805
Gdi2	2681	12802
Hist1h1a	747	12780
Trib2	4198	12673
Arhgap17	16878	12578
Canx	12827	12568
Ubb	1165	12554
Gm10845	3389	12545
Wasf2	4088	12468
Iqsec1	11016	12455
Sbno1	10071	12338
Zfp106	9099	12287
Csk	2276	12231
Ncoa2	16219	12210
Atf7ip	4527	12102
Gas7	13980	12101
Cux1	7990	12086
Plcg2	4298	12060
Cpm	5195	12036
Sh3kbp1	13926	12020
Ube2h	13361	11981
Pfn1	870	11980
Slc38a1	22077	11953
Cyth1	9474	11945
Itsn2	14409	11941
Ivns1abp	9693	11937
Vim	1834	11826
Eif4g3	18437	11823
Swap70	4035	11748
Atp5a1	2431	11747
Ewsr1	2400	11738
Ptp4a3	13595	11713
Rps4x	876	11712
Vpreb3	602	11705
Gnas	22976	11656
Anp32e	9375	11651
Eif4g1	10813	11643
Rpl13	778	11633
Eif2ak3	4496	11615
Calr	1943	11576
Eif3c	2882	11556
Dhx9	4613	11538
Rrm2b	4512	11531
Itpr3	8990	11496
Cfl1	1184	11473
Bcl2l1	2371	11468
Pik3cd	29395	11465
Hivep2	9768	11438
Cd74	2638	11353
Usp34	12200	11343
Npm1	4093	11334
Hivep1	8753	11277
Tcp1	2363	11266
Snrnp200	6740	11257
Rbm5	3087	11202
Fau	1881	11196
H3f3a	1076	11189
Cnbp	6489	11161
Smarcc1	5673	11159
Samhd1	7897	11154
Rpl35	452	11145
Mlxip	9505	11140
Cep350	13307	11133
Zmiz1	7525	11095
Nckap1l	4717	11048
Set	5497	11026
Khdrbs1	6348	11015
Prpf4b	4466	10995
Rps3	1878	10995
Dok3	1546	10977
Il2ra	4428	10945
Dbnl	7086	10931
Siglecg	2484	10905
Chd8	8190	10887
Pbrm1	8117	10881
Smc3	4851	10872
Ppp1r12a	3403	10854
Ddx6	18106	10845
Pik3r1	12754	10834
Hist1h4d	312	10771
Ctcf	3823	10765
Itpr2	23547	10750
Snord22	126	10729
Cep250	31789	10723
Ptk2b	11794	10697
Baz1a	6179	10677
Ptprcap	846	10659
Cpsf2	5315	10622
Usp7	5427	10620
Nedd9	8947	10601
Smc4	4082	10589
Rcc2	3767	10574
Nfatc3	6014	10560
Hip1r	4392	10556
Klf13	6396	10550
Gpam	3828	10547
Coro1a	1597	10521
Gpd1l	4393	10518
Chd9	11517	10483
Hectd1	8988	10483
Prpf38b	3003	10476
Mgea5	4797	10434
Ash1l	11270	10413
Setx	10970	10408
Jak1	5299	10378
Syncrip	9341	10331
Rpl3	1361	10283
AI314180	5901	10276
Smchd1	7047	10246
Arglu1	1712	10238
Prkcd	2775	10230
Hnrnpd	26832	10205
Bcr	6537	10191
Pnrc1	1925	10179
Syne2	21718	10156
Zcchc11	6054	10152
Vcp	3315	10148
Sec63	6032	10073
Gabpb2	17273	10064
Mylip	2983	10046
Rps20	502	10044
Smarce1	2918	10028
Gnb1	9374	10018
Atp5b	1879	10017
Kdm2a	7265	10012
Anp32b	1367	9974
Brd1	5137	9965
Tmpo	19823	9932
Apobec3	4819	9919
Stmn1	1060	9888
Hdac5	7593	9887
Spen	12299	9882
Srsf5	4703	9881
Akap9	12105	9878
Stk10	5073	9860
Tnrc6b	34458	9857
Tcf20	14579	9846
Ptpn6	4409	9843
Ccar1	4478	9818
Rps24	2569	9809
Srrm1	7449	9773
Cep170	6930	9763
Tmem123	2870	9742
Pde2a	20708	9716
Luc7l3	3296	9693
Hnrnpa0	2678	9666
Parp1	3827	9661
Dmxl1	12211	9648
Grk4	5648	9644
Tapt1	3489	9643
Trrap	12476	9598
Snx30	7507	9589
Kif5b	6030	9579
Rhoa	2126	9577
Herpud1	1871	9540
Dnmt1	21864	9527
Mycbp2	15233	9520
Pdia4	2481	9518
Rpl28	496	9515
Ckap5	13091	9494
B3gnt2	5275	9487
Rpl41	449	9487
Syvn1	6573	9482
Zfp292	9977	9471
Ubl3	2667	9418
Cdv3	15211	9416
