geneid	length	nreads
Lars2	3881	298991
Malat1	6982	198861
Rpph1	325	128744
Gm17821	12530	86323
Actb	1889	82492
Gm20594	334	74083
Cd74	2638	56951
Kcnq1ot1	83437	54615
A130077B15Rik	2547	42528
Eef1a1	1789	35959
Myh9	7371	35930
Hsp90ab1	2507	34938
Hspa8	2104	34168
Mir5109	87	33535
Eef2	3100	32510
Grk4	5648	31501
Tmem38b	2861	31376
Rmrp	275	26570
Ms4a1	2057	26116
Macf1	40909	26023
Mll2	19827	25850
Cd24a	1816	25482
Syk	10202	24785
Msn	3840	24525
Ptpn6	4409	23077
Ikzf3	4098	22459
Gm10845	3389	22392
Actg1	1894	22264
4930470H14Rik	1734	21590
Wdfy4	9681	21399
Spib	2786	21004
Serinc3	3694	20329
Iqgap1	7359	20267
Ddx5	3520	20029
Ptma	1192	19739
Rpl13a	1026	19506
Hsp90b1	2759	19121
Mcl1	3487	18776
Srrm2	8600	18550
Rpsa	1861	18533
Tpt1	894	18079
Map3k1	6961	18061
Ptprj	11835	17835
Scd1	4837	17546
Ptprc	15994	17421
Ncl	8257	17288
Prrc2c	10444	17167
Pabpc1	2820	16883
A630089N07Rik	2131	16857
Btg1	5008	16757
Rpl5	2019	16479
Arid1a	8175	15385
Swap70	4035	15290
Mki67	10075	15234
Hnrnpu	3670	15114
Rplp0	1360	15079
Chd4	6425	14869
Cyfip2	19633	14802
Med13	11787	14777
Cd79b	1198	14479
Chst3	6112	14231
Calr	1943	14087
Ucp2	4133	13969
Hnrnpa2b1	5732	13913
Flna	8347	13905
Prrc2a	13713	13899
Fam129c	2482	13883
Son	15737	13689
Ywhaz	13871	13388
Tln1	8560	13304
Ly6e	12714	13139
Coro1a	1597	12911
Atp2a3	13719	12792
Dock2	6291	12749
Hnrnpf	16120	12686
Prkcb	8829	12660
Prpf8	7481	12151
Tmsb4x	670	12115
Smg1	15553	11930
Rps6	1394	11875
Cd22	8069	11805
Rpl23a	560	11688
Tcf3	26488	11408
Hsp90aa1	2850	11290
Cd19	2436	11268
Actr3	7851	11243
Eif3a	5176	11140
Wnk1	53018	11122
H2-K1	1646	11116
Akap13	12543	11057
Eif4g2	15406	10984
Hnrnpk	1978	10960
Rpl4	1422	10925
Pten	8212	10886
Foxp1	20834	10844
Lcp1	7748	10779
Rps3a1	943	10777
Unc93b1	4258	10715
Rpl7	934	10570
Rpl19	1490	10569
Arhgef1	16676	10490
Gnai2	2177	10438
Rps7	961	10434
Nsd1	12784	10311
Rpl8	862	10295
Tnfrsf13c	1906	10266
Sptbn1	17288	10253
Birc6	15768	10224
Itga4	9832	10180
Hist1h1c	1561	10173
Mll3	16820	10170
Akap12	6247	10065
Ets1	9859	10010
Mll1	16439	9917
Arhgap30	4487	9886
Ezr	3070	9884
Plcg2	4298	9800
Itpr3	8990	9769
Aplf	6332	9766
Huwe1	14625	9674
Rps8	740	9670
Ubr4	15872	9660
Sfpq	5783	9642
Cltc	6144	9597
Vmn1r58	2680	9594
Plekha2	4984	9586
Rpl6	1250	9554
Dync1h1	14398	9540
Bptf	11488	9486
Cd72	5736	9469
Ikzf1	10065	9453
Crebbp	7507	9450
Nap1l1	5453	9337
Kat6a	9126	9308
Pfn1	870	9296
Dgkd	5694	9285
Rpl18a	1291	9275
Gnb2l1	1254	9208
Polr2a	5799	9196
Iqsec1	11016	9178
Tubb5	2645	9156
Cd79a	1327	9142
Ncor1	20689	9128
H3f3b	1993	9127
Rps9	703	9070
Samhd1	7897	9059
Rere	7458	9053
Sf3b1	6192	8948
Synj2bp	10398	8905
Adrbk1	3182	8866
Rps3	1878	8863
Acad9	3913	8850
Tpm3	9062	8850
Ifi30	981	8838
Ybx1	2191	8831
Rpl17	775	8793
Ccnd2	5771	8782
Lsp1	11254	8763
Myo1c	15883	8753
Lyn	6849	8734
Snord15b	145	8664
Cic	18294	8662
Calm1	4001	8635
Serbp1	26614	8612
Ppia	736	8540
Rpl3	1361	8511
Faim3	1491	8500
Rpl21	1856	8430
Setd2	8350	8382
Ankrd11	17535	8280
Stk4	5189	8276
Sptan1	23994	8273
Gnas	22976	8207
Cfl1	1184	8203
Kctd12	6057	8145
Sorl1	6938	8144
Hmha1	7408	8139
Tmem123	2870	8123
Cd37	1226	8106
Tpr	7550	8067
Klf2	1816	8033
Brwd1	18378	7963
Ly6d	691	7935
Psap	15807	7866
Sf3b2	3233	7858
Top2b	5633	7850
Nedd9	8947	7838
Ablim1	18775	7813
Ptbp3	13735	7783
Vars	4224	7783
Hip1r	4392	7780
Bcl11a	12842	7750
Csk	2276	7713
Mycbp2	15233	7712
Nipbl	17414	7688
Vim	1834	7678
Atrx	10242	7656
Ddx17	16427	7643
B2m	858	7631
Rplp1	468	7628
Mbnl1	28915	7614
Ptk2b	11794	7609
Smarca4	19107	7580
Irf8	2827	7528
Canx	12827	7520
Zfp106	9099	7478
Sbk1	4092	7476
Jund	2878	7450
Zfp488	4301	7427
Pou2af1	2566	7399
Hmgb1	2309	7322
Zscan29	6904	7293
Eif4g1	10813	7269
Rpl13	778	7259
Ep400	21488	7234
Hvcn1	5423	7221
Rbm39	2812	7207
Prkcd	2775	7178
Fau	1881	7148
Fryl	11470	7147
Pik3ap1	2615	7118
Dmxl1	12211	7098
1700021K19Rik	10641	7071
Ep300	8749	7068
Zcchc11	6054	7063
Bach2	8493	7044
Aff3	6010	7009
Hspa5	5150	7006
Uba52	494	7006
Acin1	19148	6981
Zfp277	4530	6973
Snord17	221	6966
Cnp	4881	6892
Wdr1	2878	6890
Lrmp	2313	6856
Aff1	16635	6831
Notch2	10506	6828
Trip12	9632	6823
Esyt1	3685	6821
Rac2	3036	6811
Hnrnpm	4947	6795
Rps4x	876	6795
Numa1	7153	6782
Chd2	9071	6766
Parp1	3827	6758
Fmnl1	7647	6757
Brd2	13469	6698
Siglecg	2484	6695
Scaf11	7724	6694
Ralgps2	41634	6678
Sipa1	18455	6675
Card11	4112	6667
Rplp2	441	6662
Kdm3b	7112	6660
Lmnb1	2844	6657
Hcfc1	8093	6648
Baz1b	6433	6617
Rps24	2569	6571
Tcf20	14579	6537
Sik1	4509	6531
Caprin1	25393	6530
Grk6	8091	6514
Atp5a1	2431	6513
Ncoa3	7531	6478
Rpl41	449	6447
Npm1	4093	6443
Arid1b	11325	6427
Dock8	7810	6418
Pax5	1208	6410
Snrnp200	6740	6397
Hnrnpul1	4106	6385
Rpl35	452	6362
Thrap3	4327	6360
Snx2	2013	6330
Cap1	2393	6326
Akna	5475	6302
Smchd1	7047	6293
5031439G07Rik	5032	6272
H2-Ab1	1193	6248
Serp1	2449	6238
Pml	10616	6196
Rcc2	3767	6184
Sp100	2158	6143
Usp34	12200	6132
Cnot1	24984	6116
Helz2	10109	6100
Dennd4b	5399	6099
Rpl29	710	6085
Mll5	7258	6039
Ddx6	18106	6035
Itsn2	14409	6017
Stk10	5073	5995
Csde1	8309	5972
Prex1	6530	5968
Tcof1	9150	5929
Rpl10	795	5919
Cux1	7990	5904
Bank1	3247	5896
Sf1	8084	5891
Nedd4	5494	5886
Sept11	5008	5882
Nono	4933	5845
Baz1a	6179	5839
Actr2	3669	5827
Kif21b	9119	5799
Hmgb2	2692	5794
Eif4g3	18437	5792
Mtss1	9908	5792
Elf1	4217	5789
Hcls1	2018	5785
Rps23	555	5783
Rpl7a	864	5780
Phip	10729	5767
Laptm5	2398	5764
Prrc2b	19232	5764
Cmah	19124	5738
Tet3	10906	5700
Pum2	37079	5697
Lbh	3068	5680
Map4k1	2698	5671
Top2a	5217	5665
Purb	8478	5640
Hck	4184	5622
Rpl27a	1112	5613
Dbnl	7086	5604
D930015E06Rik	4909	5588
Brd4	8667	5584
Sema4d	4377	5561
Plec	225028	5542
Ppp6r1	3793	5541
Supt16	4491	5541
Set	5497	5501
H3f3a	1076	5498
Rasgrp1	5105	5497
Chd8	8190	5483
Wipf1	4397	5421
Fth1	2453	5413
Arf6	3731	5408
Hnrnpul2	5726	5376
Inpp5d	14628	5371
Foxo1	5552	5360
Herc2	15346	5346
Rock1	6187	5329
Sbno1	10071	5309
Ash1l	11270	5307
Jarid2	17383	5306
Arhgdia	2732	5298
Ranbp2	9476	5267
Nfatc3	6014	5252
Mdn1	17959	5222
Rpl23	1062	5221
Eef1g	1565	5181
Smc1a	3970	5181
Vav1	12315	5181
Rps2	999	5174
Golgb1	11025	5158
Hnrnpab	4949	5155
Chd3	7281	5144
Tlr9	3471	5124
Hnrnph1	2226	5107
Fam107b	3148	5102
Snn	2904	5097
Cep350	13307	5095
Jak1	5299	5089
Gdi2	2681	5085
Nfkb1	4118	5073
Wdr26	7047	5069
Treml2	4509	5068
Rhoa	2126	5067
Cecr2	9213	5055
Rps20	502	5055
Dock10	7303	5037
Etnk1	6433	5027
Klf13	6396	5019
G530011O06Rik	2380	5015
Eif3c	2882	5014
Arid3a	5326	5012
Atf7ip	4527	5005
Syvn1	6573	4983
Srrm1	7449	4961
Baz2a	8369	4954
Gm17644	3200	4954
Samd9l	5329	4948
Zfp36l1	2984	4946
Zmiz2	8160	4944
Nup210	7035	4931
Slc12a6	12573	4931
Cep110	13582	4919
Hivep3	9021	4911
Gimap1	3004	4899
Arhgef18	5300	4898
Add1	11918	4897
E2f2	4738	4894
Pdia4	2481	4894
Setx	10970	4880
Nckap1l	4717	4867
Luc7l2	10478	4858
Rpl18	679	4853
Anp32b	1367	4843
Hectd1	8988	4843
Myo1g	3307	4836
Edem3	6604	4827
Arhgap17	16878	4826
Atp5b	1879	4816
Rad21	3605	4812
Trrap	12476	4811
Hist1h1e	1931	4796
Rps27a	1547	4784
Pdcd4	6554	4777
Ppp1ca	1363	4772
Ywhae	2078	4770
Dek	2602	4769
Ppp1r18	8526	4764
Ptp4a2	6795	4762
Tmsb10	1828	4757
Klhl14	4018	4756
Myo1e	4944	4753
Eml4	15786	4752
Rasa3	4118	4726
Jmjd1c	16999	4719
Dnmt1	21864	4718
Dhx9	4613	4708
Dock11	6665	4705
Erbb2ip	12962	4677
Myo18a	7304	4675
Pik3c2b	7929	4667
Tnrc6b	34458	4652
Herc1	15229	4616
Ptprcap	846	4608
Rapgef1	18321	4608
Usp7	5427	4599
Fcrla	5046	4598
Arpc2	1597	4586
Lyst	11806	4581
Rbm5	3087	4581
Naca	8152	4563
Eif4b	3854	4558
Hipk1	8049	4556
Khsrp	3999	4554
Olfr856-ps1	1642	4553
Stag2	11770	4547
Vps13d	44688	4547
Eef1b2	1933	4535
Spen	12299	4535
Bod1l	10539	4525
Itpr1	9877	4522
Itpr2	23547	4519
Cytip	5735	4512
Bcor	33578	4491
Ddx3x	4571	4478
Hist1h1d	2977	4471
Nfkb2	9232	4463
Pik3cd	29395	4448
Cnbp	6489	4436
Snx5	4927	4434
Usp24	10601	4432
Rbm25	4244	4429
Sh2b3	2482	4428
Ssrp1	5587	4427
Apobec3	4819	4403
Kdm2a	7265	4397
Khdrbs1	6348	4386
Sdc4	2460	4383
Atp13a2	8580	4367
Mtpn	4042	4359
Hivep2	9768	4356
Gabpb2	17273	4353
Uba1	16374	4346
Mid1	7784	4338
Prpf38b	3003	4338
Mlec	5952	4327
Ubr5	19562	4323
Vmn1r65	2682	4299
Ncf1	2721	4263
Ptp4a3	13595	4258
Tacc1	14166	4257
Ftl1	970	4255
Copa	4629	4248
Mga	27235	4226
4932438A13Rik	15883	4221
Zfp36l2	3532	4210
Chd1	7918	4203
Sun2	11325	4203
Kpnb1	5909	4202
Srsf5	4703	4190
Pcbp2	11196	4182
Rps15	522	4182
Ddx54	3931	4178
Ssh2	9039	4177
Pld4	1978	4175
Arhgdib	1100	4172
Ewsr1	2400	4159
Ankrd17	19379	4150
Ivns1abp	9693	4138
Mef2d	2459	4130
Tcp1	2363	4127
Clta	4458	4126
Eif5a	12029	4114
Rpl12	638	4101
Cdv3	15211	4100
Rps18	524	4097
Syne2	21718	4093
Epb4.1l2	8667	4087
Ptbp1	5788	4082
Ankhd1	8231	4080
Rpl14	935	4074
Wbp7	8457	4072
Cd97	12307	4071
Ube2h	13361	4070
Hspa4	4640	4060
Zfp292	9977	4056
Vps13b	13371	4053
Cybasc3	2580	4046
Gga2	4891	4046
Adam19	6387	4042
Tgfbr2	9501	4042
Map4k2	2466	4036
Srebf2	4570	4035
Smc3	4851	4034
Lynx1	3952	4026
Zbtb7a	5373	4025
Pdia3	2642	4019
Stat1	15456	4015
Srsf1	10924	4014
Ankrd13a	3252	4011
Diap1	4377	4007
Btla	6467	4001
Parp14	7251	4001
Irf5	4432	3998
Rfx7	8000	3993
Tapbp	5497	3990
Elk4	3671	3982
Cerk	4546	3973
Fermt3	2587	3971
Glcci1	6204	3958
Zfp71-rs1	3960	3952
Tgfb1	2094	3951
Rps12	518	3948
St6gal1	12729	3948
Pou2f2	13180	3936
Tle3	15522	3928
Arhgap4	9867	3912
Sf3b3	4299	3907
Pbrm1	8117	3906
Smarcc2	14214	3906
Pkn1	6761	3900
Atxn2l	3718	3895
Rpl37	867	3893
Sp1	7818	3892
Mta2	3087	3877
Hnrnpd	26832	3852
H2-Aa	1069	3848
Rps17	474	3844
Sema4b	3946	3843
Akap9	12105	3842
Rsf1	11129	3842
Hdac7	33483	3840
Ddx21	4743	3837
Zfp608	6112	3836
Rpl11	594	3835
Usp9x	11902	3832
Uggt1	9029	3825
Prr14l	10546	3822
Arap1	19753	3819
Lbr	3552	3819
Hivep1	8753	3815
Prpf4b	4466	3814
9930111J21Rik1	3863	3813
Ino80d	26967	3813
Zfpm1	3386	3804
Ppp1r16b	12762	3799
Ddx46	5673	3798
Cct5	1769	3789
Tpm4	2082	3779
Dennd5b	9833	3773
Tax1bp1	3284	3773
Man2a2	6554	3768
Olfr613	5137	3767
