geneid	length	nreads
Malat1	6982	383173
Rpph1	325	316866
Lars2	3881	220622
Gm20594	334	131596
Mki67	10075	103820
Gm17821	12530	90474
Smarca4	19107	79982
Actb	1889	70488
Ptma	1192	63809
Syk	10202	51233
Hmgb1	2309	49467
Hmgb2	2692	45416
Akap12	6247	45114
Cecr2	9213	44692
Myb	7197	44567
Cyfip2	19633	43986
Bach2	8493	42698
Kcnq1ot1	83437	40807
Hnrnpu	3670	40682
Hist2h2bb	493	40668
Ddx5	3520	40149
Pabpc1	2820	39646
Eef2	3100	39501
Prrc2c	10444	39375
Eef1a1	1789	38640
Rmrp	275	37992
Hsp90ab1	2507	37955
Myh9	7371	37473
Hist1h1c	1561	37102
Top2a	5217	36865
Mll2	19827	36583
Serinc3	3694	36435
Srrm2	8600	35296
A130077B15Rik	2547	34348
Msn	3840	33363
Hnrnpa2b1	5732	33006
Rpl13a	1026	32679
Lmnb1	2844	32441
Ucp2	4133	32366
Ncl	8257	31957
Rag1	6667	31812
Hspa8	2104	31217
Aff1	16635	30861
Sfpq	5783	30614
Cd24a	1816	29792
Arid1a	8175	29163
Tubb5	2645	28680
Tpt1	894	28534
Hnrnpk	1978	27871
Hsp90b1	2759	27863
Rplp0	1360	27444
Wdfy4	9681	27242
Son	15737	27086
Tcf3	26488	26779
Iqgap1	7359	26778
Sptbn1	17288	25919
4930470H14Rik	1734	24625
Hsp90aa1	2850	24610
Nipbl	17414	24473
Dek	2602	24133
Ikzf3	4098	23455
Eif4g2	15406	23437
Plekha2	4984	23282
Med13	11787	23252
Ankrd11	17535	23226
Stk4	5189	23068
Prkcb	8829	23024
Top2b	5633	22795
Wnk1	53018	22701
Chd4	6425	22667
Eif3a	5176	22471
Atrx	10242	22037
Rad21	3605	21423
Rere	7458	21283
Dock2	6291	21246
Arid1b	11325	21173
Rpsa	1861	21158
Prrc2a	13713	21046
Cd93	6638	20791
Rpl5	2019	20736
Rpl37	867	20654
Hist1h1e	1931	20564
Gm10845	3389	20537
Hist2h4	348	20453
Adrbk1	3182	20350
Foxp1	20834	20276
Akap13	12543	20136
Mll3	16820	20116
Grk4	5648	20059
Lrmp	2313	19634
Ywhaz	13871	19528
Mll1	16439	19508
Birc6	15768	19423
Map3k1	6961	19401
Cd79a	1327	19367
Cenpf	11122	19329
Fam53b	10199	19202
Hist1h1d	2977	19058
Atp1b1	2422	18988
Smc1a	3970	18911
Bcl7a	3809	18901
Supt16	4491	18519
Pik3ap1	2615	18416
Rps3a1	943	18307
H3f3b	1993	18153
Ncor1	20689	18124
Hist1h1a	747	18012
Baz1b	6433	17889
Kat6a	9126	17857
D930015E06Rik	4909	17791
Bptf	11488	17752
Snord15b	145	17701
Acin1	19148	17497
Itga4	9832	17314
Huwe1	14625	17278
Setd2	8350	17207
Sf3b1	6192	17163
Tpr	7550	17137
Crebbp	7507	17107
Hnrnpf	16120	17061
Fam129c	2482	16885
Rbm39	2812	16850
Dgkd	5694	16803
Irf4	4683	16701
Zeb2	9113	16676
Rpl23a	560	16566
Cep110	13582	16550
Tmem38b	2861	16520
Spib	2786	16516
Tln1	8560	16509
Phip	10729	16420
Ikzf1	10065	16397
Smg1	15553	16374
Chst3	6112	16372
Hnrnpul1	4106	16182
Rpl4	1422	16170
Sf3b2	3233	16133
Anp32e	9375	16001
Kif21b	9119	15809
Pten	8212	15781
Nsd1	12784	15767
Pou2af1	2566	15709
Dnmt1	21864	15695
Glcci1	6204	15600
Ezh2	5292	15310
Rps6	1394	15271
Polr2a	5799	15244
Rpl19	1490	15242
Slc12a6	12573	15238
Stmn1	1060	15219
Btg1	5008	15099
Trp53inp1	10822	14986
Macf1	40909	14965
Cerk	4546	14823
Nup210	7035	14798
Ivns1abp	9693	14723
Rbm25	4244	14698
Actg1	1894	14656
Hnrnpm	4947	14530
Smc4	4082	14495
Hnrnpab	4949	14438
Tmpo	19823	14382
Uba52	494	14342
Top1	3846	14287
Ebf1	2245	14285
Ubr4	15872	14283
Sox4	2953	14246
Ddx17	16427	14224
Scaf11	7724	14169
Hnrnpd	26832	14002
Serbp1	26614	13937
Ybx1	2191	13874
Chd1	7918	13717
Hnrnph1	2226	13696
Arhgap30	4487	13675
Dync1h1	14398	13619
Cnot1	24984	13606
Acad9	3913	13605
Mbnl1	28915	13604
Numa1	7153	13598
Snord15a	148	13587
Wdr26	7047	13587
Anp32b	1367	13586
Hist1h4d	312	13547
Whsc1	21625	13537
Ablim1	18775	13520
Cltc	6144	13520
Cd72	5736	13477
Fryl	11470	13466
Luc7l2	10478	13418
Thrap3	4327	13334
Tpm3	9062	13315
E2f2	4738	13246
Prpf8	7481	13239
Cnp	4881	13224
Brd4	8667	13219
Gnb2l1	1254	13191
Ppia	736	13099
Ssh2	9039	13063
Tifa	2137	13063
Nap1l1	5453	13061
Myo1c	15883	13033
Ep400	21488	12948
Serinc5	5318	12941
Zfpm1	3386	12931
Elf1	4217	12924
Gltscr1	5360	12917
Edem3	6604	12904
Nono	4933	12881
Hcfc1	8093	12740
Sf1	8084	12704
Pum2	37079	12703
Aff3	6010	12567
Baz2a	8369	12555
Stag2	11770	12485
Cplx2	4925	12420
Tcp1	2363	12355
Ranbp2	9476	12340
Fmnl1	7647	12338
B2m	858	12314
Calm2	1216	12314
Adam10	4589	12287
Incenp	3217	12268
Atp2a3	13719	12238
Akna	5475	12218
Smc3	4851	12185
Itpr2	23547	12129
Baz2b	7980	12094
Hist1h1b	672	12008
Ywhae	2078	11780
Cd19	2436	11766
Calm1	4001	11735
Ep300	8749	11714
Rpl7	934	11662
Sptan1	23994	11648
Luc7l3	3296	11560
Cic	18294	11552
Dock8	7810	11551
Syncrip	9341	11515
Clint1	3398	11510
Hipk1	8049	11487
Ncapd2	4514	11478
Gdi2	2681	11471
Siglecg	2484	11451
Actr3	7851	11441
Prrc2b	19232	11436
Ets1	9859	11422
Ctcf	3823	11412
Chchd10	948	11409
Rpl29	710	11376
Ptbp3	13735	11364
Brd2	13469	11352
Uhrf1	13944	11319
Cd79b	1198	11287
Ly6e	12714	11280
Rpl17	775	11209
Ppp6r1	3793	11185
Fam107b	3148	11164
Baz1a	6179	11159
Cep350	13307	11103
Ckap5	13091	11085
Dnajc7	2312	11050
Cap1	2393	10996
Psme4	6442	10990
Zscan29	6904	10981
